week,sales0,price0,sales1,price1
1,417,2.79,54,2.75
2,182,3.15,437,1.99
3,312,2.85,55,2.75
4,159,3.063333,50,2.75
5,385,2.29,52,2.49
6,178,3.063333,442,2.165
7,158,3.063333,78,2.49
8,220,2.953333,405,1.99
9,374,2.446667,149,1.99
10,526,2.73,64,2.49
11,193,2.953333,59,2.49
12,388,2.446667,72,2.49
13,172,2.953333,445,1.89
14,484,2.456667,83,2.49
15,278,2.896667,473,1.79
16,232,2.953333,101,2.49
17,176,2.953333,55,2.49
18,313,2.763333,90,2.49
19,307,2.58,80,2.49
20,188,3.09,65,2.89
21,164,3.09,435,1.79
22,392,2.31,35,2.89
23,192,3.576667,60,3.17
24,559,2.716667,52,3.17
25,168,3.163333,53,3.17
26,170,3.576667,345,2.49
27,237,3.31,44,3.17
28,174,3.576667,262,2.39
29,162,3.576667,75,3.17
30,121,3.576667,200,2.39
31,378,3.243333,58,3.17
32,195,3.576667,63,3.17
33,210,3.576667,70,3.17
34,172,3.506667,69,3.17
35,222,3.276667,74,3.17
36,175,3.276667,60,3.17
37,153,3.576667,349,2.49
38,398,3.31,51,3.17
39,358,2.99,44,3.17
40,346,3.21,39,3.17
41,130,3.576667,621,1.99
42,584,3.21,39,3.17
43,165,3.576667,40,3.17
44,117,3.576667,410,2.59
45,305,3.376667,50,3.17
46,145,3.576667,209,3.17
47,124,3.576667,279,2.39
48,340,3.376667,53,3.17
49,148,3.376667,565,1.99
50,410,3.243333,44,3.17
51,138,3.576667,50,3.17
52,220,3.19,47,3.17
53,184,3.19,403,2.19
54,351,2.99,64,3.17
55,193,3.376667,53,3.17
56,216,3.19,164,3.17
57,123,3.19,448,1.99
58,115,3.37,90,2.875
59,281,3.036667,53,3.17
60,135,3.37,438,1.99
61,227,3.036667,41,3.17
62,198,3.576667,456,1.99
63,259,2.756667,178,1.99
64,270,2.756667,117,3.17
65,128,3.39,408,1.99
66,139,3.256667,217,1.99
67,508,2.256667,254,1.99
68,481,2.156667,180,1.99
69,203,3.256667,236,1.99
70,304,2.59,76,2.59
71,437,2.29,68,2.59
72,183,2.956667,450,1.99
73,159,3.256667,81,2.59
74,386,2.523333,85,2.49
75,448,2.89,92,2.49
76,157,2.89,154,2.49
77,133,3.256667,367,1.99
78,127,3.256667,64,2.59
79,343,2.99,202,2.59
80,62,3.256667,418,1.69
81,996,1.99,305,1.69
82,206,3.186667,81,2.59
83,519,2.12,135,2.09
84,211,3.186667,92,2.09
85,614,2.12,114,2.09
86,325,2.12,372,2.09
87,29,3.256667,352,1.39
88,444,2.39,77,2.39
89,143,3.223333,80,2.39
90,158,3.223333,81,2.39
91,781,2.156667,45,2.39
92,359,1.946667,223,1.79
93,135,3.223333,194,2.39
94,206,3.223333,607,1.69
95,603,2.156667,175,1.69
96,333,2.156667,42,2.39
97,331,2.156667,64,2.39
98,448,3.056667,49,2.39
99,506,2.29,42,2.39
100,261,2.29,42,2.39
101,163,3.223333,243,2.39
102,270,3.223333,1869,.99
103,323,3.056667,104,2.39
104,1138,2.09,535,2.39
105,304,3.056667,338,1.99
106,440,2.223333,135,1.99
107,257,2.956667,185,1.89
108,196,2.956667,233,1.79
109,273,2.806667,162,1.79
110,233,2.806667,2284,1.69
111,248,2.806667,95,2.39
