week,sales0,sales1,price0,price1
1,26755.01,7551.997,2.614369,2.475946
2,12865,39882,2.804883,1.99
3,31164.99,8693,2.612489,2.472311
4,13106,6195.999,2.764089,2.477378
5,43629,6016.001,2.057568,2.335912
6,13270,51755.02,2.749817,1.989201
7,13512,12518.99,2.756,2.302767
8,13864,52796.99,2.687835,1.989091
9,28824.99,14383,2.376962,1.989103
10,36538.01,9678.995,2.528919,2.305101
11,16655,7438,2.683983,2.305671
12,30461.99,7763.997,2.379689,2.300233
13,35762,48420,2.67636,1.89
14,37309,10310,2.422208,2.297889
15,17819.99,52738.01,2.670217,1.79
16,16758,12882,2.6772,2.296533
17,15717,8908.999,2.682992,2.300513
18,33591.99,8780.996,2.560042,2.297848
19,36892,7090.001,2.4871,2.3
20,16740,7309.999,2.811709,2.699231
21,13296,56692.02,2.805167,1.7825
22,40979.99,5278,2.013117,2.698571
23,17286,6860,3.256872,2.895185
24,35588.01,9810.999,2.626708,2.895185
25,13702.99,7942,2.865823,2.89519
26,12440,27517.99,3.244362,2.49
27,20880.01,6042.001,3.071167,2.894
28,11329,29765.99,3.249548,2.385062
29,10796,7714.001,3.256542,2.898625
30,30731.99,76791.98,3.250253,2.384937
31,29461.99,7061,3.015042,2.894
32,10838,6494.001,3.240614,2.88671
33,11584,6172.001,3.233285,2.881594
34,9762,4740.002,3.201452,2.890161
35,13710,4890,3.045574,2.89459
36,20130,9056.996,3.048059,2.900854
37,11695,30599.01,3.25465,2.48875
38,28211.99,5579.002,3.073207,2.90935
39,20352,5609,2.895417,2.902025
40,40979.01,5355,2.939744,2.89859
41,11358,55523.02,3.268667,1.99
42,43579.02,6124.999,2.976214,2.899629
43,10626,6356,3.261975,2.8985
44,8980.997,38275.98,3.260082,2.59
45,22517,5402.999,3.152937,2.912375
46,11484,11052,3.267917,2.90775
47,11491,26392.99,3.265542,2.39
48,30656,5556.001,3.152716,2.908766
49,10014,53639.01,3.156329,1.99
50,35179,4805,3.020333,2.90775
51,11071,6307,3.280165,2.917901
52,13087,5616.001,3.076708,2.91475
53,12409,35645,3.073625,2.192
54,34612.99,4939.999,2.958395,2.908766
55,12370.01,5874.999,3.163042,2.9055
56,17034,12797,3.026173,2.908766
57,10535,49150.01,3.028642,1.99
58,10390,7047,3.081975,2.679074
59,30695.99,5535,2.948189,2.908766
60,9465.003,41216.02,3.197037,1.985062
61,24532,5334,2.945366,2.914329
62,15436,51803.02,3.280772,1.99
63,19715.01,14591,2.753496,1.99
64,18869.99,14555,2.747912,2.914329
65,9559,42818,3.10187,1.99
66,10885,16915,2.983454,1.99
67,44505,18249,2.256305,1.99
68,48882.02,12614.01,2.156667,1.99
69,14893,14517,2.956016,1.99
70,22653,6508,2.520482,2.397713
71,37872,8717,2.285285,2.397713
72,14375,52611.02,2.75241,1.988916
73,11833,9341.004,2.978635,2.387711
74,29989.01,9192.003,2.453815,2.318313
75,49092.02,7239.001,2.682428,2.32321
76,15336,11801,2.688107,2.318642
77,11108,34629.01,2.97494,1.988916
78,10038,6132,2.97494,2.387711
79,30888.01,17938,2.779437,2.393377
80,10461,114231,2.958148,1.715247
81,108153,30898,1.863936,1.714639
82,16293,8124.999,2.934732,2.387901
83,56696.02,9991.003,2.077114,2.048518
84,16957,9677.999,2.934699,2.049024
85,66738.02,9472.001,2.07755,2.049024
86,28808.01,26948.99,2.07874,2.047805
87,9508.004,149993,2.989383,1.39
88,29949.99,14131,2.323213,2.207711
89,9059.001,8326.002,2.948718,2.202692
90,9739.004,10365,2.958795,2.207711
91,67705,7213.998,2.093577,2.220244
92,25484.01,30836,1.900522,1.661205
93,10141,19154,2.961748,2.142256
94,18689,68581.98,2.855381,1.687831
95,55058,18788,2.093775,1.701867
96,27210,6248.001,2.093775,2.220723
97,19922,6995.001,2.116787,2.220723
98,39372.02,5689,2.788072,2.220723
99,32954.98,5613.999,2.226386,2.216958
100,15919.99,5866.001,2.254056,2.218554
101,9400.997,19126,2.973984,2.084451
102,10795,123952.9,2.966827,1.286386
103,21671,6445,2.873903,2.222652
104,63986,8629.999,2.079553,2.197073
105,18752.01,33213.01,2.80747,1.974819
106,35794.99,9895.004,2.274257,1.956687
107,15410,15180,2.749444,1.866875
